n,s0
2064,141
2065,142
2066,144
2067,144
2068,145
2069,147
2070,147
2071,148
2072,150
2073,150
2074,151
2075,153
2076,153
2077,154
2078,156
2079,157
2080,159
2081,187
2082,161
2083,162
2084,190
2085,164
2086,165
2087,193
2088,166
2089,168
2090,196
2091,169
2092,171
2093,199
2094,172
2095,174
2096,-1
2097,175
2098,177
2099,-1
2100,178
2101,180
2102,-1
2103,181
2104,183
2105,-1
2106,81
2107,82
2108,83
2109,84
2110,85
2111,86
2112,87
2113,88
2114,89
2115,90
2116,91
2117,92
2118,93
2119,94
2120,95
2121,96
2122,97
2123,98
2124,99
2125,100
2126,101
2127,102
2128,103
2129,104
2130,105
2131,106
2132,108
2133,136
2134,163
2135,165
2136,139
2137,166
2138,168
2139,142
2140,169
2141,171
2142,145
2143,172
2144,173
2145,148
2146,175
2147,176
2148,151
2149,178
2150,180
2151,154
2152,181
2153,182
2154,157
2155,184
2156,185
2157,160
2158,188
2159,190
2160,190
2161,192
2162,193
2163,193
2164,195
2165,196
2166,196
2167,198
2168,199
2169,199
2170,200
2171,-1
2172,-1
2173,-1
2174,-1
2175,-1
2176,-1
2177,-1
2178,-1
2179,-1
2180,-1
2181,-1
2182,-1
2183,-1
2184,-1
2185,-1
2186,-1
2187,84
2188,84
2189,84
2190,84
2191,84
2192,84
2193,86
2194,86
2195,87
2196,84
2197,84
2198,84
2199,84
2200,84
2201,84
2202,86
2203,86
2204,87
2205,84
2206,84
2207,84
2208,84
2209,84
2210,85
2211,87
2212,87
2213,88
2214,85
2215,85
2216,86
2217,85
2218,85
2219,87
2220,88
2221,88
2222,89
2223,85
2224,85
2225,86
2226,85
2227,85
2228,87
2229,88
2230,88
2231,89
2232,85
2233,85
2234,86
2235,85
2236,86
2237,88
2238,89
2239,89
2240,91
2241,86
2242,87
2243,88
2244,86
2245,87
2246,88
2247,89
2248,90
2249,91
2250,86
2251,87
2252,88
2253,86
2254,87
2255,88
2256,89
2257,90
2258,91
2259,86
2260,87
2261,88
2262,87
2263,88
2264,89
2265,90
2266,91
2267,92
2268,87
2269,87
2270,87
2271,89
2272,89
2273,90
2274,91
2275,92
2276,93
2277,87
2278,87
2279,87
2280,89
2281,89
2282,90
2283,91
2284,92
2285,93
2286,87
2287,87
2288,88
2289,90
2290,90
2291,91
2292,92
2293,93
2294,94
2295,88
2296,88
2297,90
2298,91
2299,91
2300,92
2301,93
2302,94
2303,95
2304,88
2305,88
2306,90
2307,91
2308,91
2309,92
2310,93
2311,94
2312,95
2313,88
2314,89
2315,91
2316,92
2317,92
2318,94
2319,95
2320,95
2321,97
2322,89
2323,90
2324,91
2325,92
2326,93
2327,94
2328,95
2329,96
2330,97
2331,89
2332,90
2333,91
2334,92
2335,93
2336,94
2337,95
2338,96
2339,97
2340,90
2341,91
2342,92
2343,93
2344,94
2345,95
2346,96
2347,97
2348,98
2349,153
2350,153
2351,154
2352,156
2353,156
2354,157
2355,159
2356,159
2357,160
2358,162
2359,162
2360,163
2361,165
2362,165
2363,166
2364,168
2365,168
2366,170
2367,172
2368,172
2369,173
2370,174
2371,175
2372,176
2373,177
2374,177
2375,179
2376,181
2377,182
2378,183
2379,184
2380,185
2381,186
2382,187
2383,188
2384,189
2385,190
2386,191
2387,192
2388,193
2389,194
2390,195
2391,196
2392,198
2393,199
2394,199
2395,-1
2396,-1
2397,-1
2398,-1
2399,-1
2400,-1
2401,-1
2402,-1
2403,-1
2404,-1
2405,-1
2406,-1
2407,-1
2408,-1
2409,-1
2410,-1
2411,-1
2412,-1
2413,-1
2414,-1
2415,-1
2416,-1
2417,-1
2418,-1
2419,-1
2420,-1
2421,-1
2422,-1
2423,-1
2424,-1
2425,-1
2426,-1
2427,-1
2428,-1
2429,-1
2430,93
2431,93
2432,93
2433,93
2434,93
2435,93
2436,95
2437,95
2438,96
2439,93
2440,93
2441,93
2442,93
2443,93
2444,94
2445,96
2446,96
2447,97
2448,94
2449,94
2450,95
2451,94
2452,94
2453,96
2454,97
2455,97
2456,98
2457,94
2458,94
2459,95
2460,94
2461,94
2462,96
2463,97
2464,97
2465,98
2466,94
2467,94
2468,95
2469,94
2470,95
2471,97
2472,98
2473,98
2474,100
2475,95
2476,96
2477,97
2478,95
2479,96
2480,97
2481,98
2482,99
2483,100
2484,95
2485,96
2486,97
2487,95
2488,96
2489,97
2490,98
2491,99
2492,100
2493,95
2494,96
2495,97
2496,96
2497,97
2498,98
2499,99
2500,100
2501,101
2502,102
2503,103
2504,104
2505,105
2506,106
2507,107
2508,108
2509,109
2510,110
2511,96
2512,96
2513,96
2514,98
2515,98
2516,99
2517,100
2518,101
2519,102
2520,96
2521,96
2522,97
2523,99
2524,99
2525,100
2526,101
2527,102
2528,103
2529,97
2530,97
2531,99
2532,100
2533,100
2534,101
2535,102
2536,103
2537,104
2538,97
2539,97
2540,99
2541,100
2542,100
2543,101
2544,102
2545,103
2546,104
2547,97
2548,98
2549,100
2550,101
2551,101
2552,103
2553,104
2554,104
2555,106
2556,98
2557,99
2558,100
2559,101
2560,102
2561,103
2562,104
2563,105
2564,106
2565,98
2566,99
2567,100
2568,101
2569,102
2570,103
2571,104
2572,105
2573,106
2574,99
2575,100
2576,101
2577,102
2578,103
2579,104
2580,105
2581,106
2582,107
