x, n0
1727, 167
1728, 169
1729, 171
1730, 171
1731, 171
1732, 172
1733, 174
1734, 176
1735, 175
1736, 176
1737, 177
1738, 179
1739, 181
1740, 180
1741, 181
1742, 182
1743, 184
1744, 186
1745, 185
1746, 186
1747, 187
1748, 189
1749, 191
1750, 72
1751, 72
1752, 73
1753, 74
1754, 75
1755, 73
1756, 73
1757, 74
1758, 75
1759, 76
1760, 73
1761, 73
1762, 74
1763, 75
1764, 76
1765, 73
1766, 73
1767, 74
1768, 75
1769, 76
1770, 73
1771, 73
1772, 74
1773, 75
1774, 76
1775, 73
1776, 74
1777, 75
1778, 76
1779, 77
1780, 74
1781, 75
1782, 76
1783, 77
1784, 78
1785, 74
1786, 75
1787, 76
1788, 77
1789, 78
1790, 74
1791, 75
1792, 76
1793, 77
1794, 78
1795, 74
1796, 75
1797, 76
1798, 77
1799, 78
1800, 75
1801, 76
1802, 77
1803, 78
1804, 79
1805, 80
1806, 81
1807, 82
1808, 83
1809, 84
1810, 85
1811, 86
1812, 87
1813, 88
1814, 89
1815, 90
1816, 91
1817, 92
1818, 93
1819, 94
1820, 95
1821, 96
1822, 97
1823, 98
1824, 100
1825, 126
1826, 127
1827, 128
1828, 128
1829, 130
1830, 130
1831, 131
1832, 132
1833, 133
1834, 135
1835, 135
1836, 136
1837, 137
1838, 138
1839, 140
1840, 140
1841, 141
1842, 142
1843, 143
1844, 145
1845, 145
1846, 146
1847, 147
1848, 149
1849, 151
1850, 176
1851, 176
1852, 177
1853, 179
1854, 181
1855, 180
1856, 181
1857, 182
1858, 184
1859, 186
1860, 185
1861, 186
1862, 187
1863, 189
1864, 191
1865, 190
1866, 191
1867, 192
1868, 194
1869, 196
1870, 195
1871, 196
1872, 198
1873, 200
1874, -1
1875, 78
1876, 78
1877, 79
1878, 80
1879, 81
1880, 78
1881, 78
1882, 79
1883, 80
1884, 81
1885, 78
1886, 78
1887, 79
1888, 80
1889, 81
1890, 78
1891, 78
1892, 79
1893, 80
1894, 81
1895, 78
1896, 79
1897, 80
1898, 81
1899, 82
1900, 79
1901, 80
1902, 81
1903, 82
1904, 83
1905, 79
1906, 80
1907, 81
1908, 82
1909, 83
1910, 79
1911, 80
1912, 81
1913, 82
1914, 83
1915, 79
1916, 80
1917, 81
1918, 82
1919, 83
1920, 80
1921, 81
1922, 82
1923, 83
1924, 84
1925, 110
1926, 111
1927, 112
1928, 113
1929, 114
1930, 115
1931, 116
1932, 117
1933, 118
1934, 119
1935, 120
1936, 121
1937, 122
1938, 123
1939, 124
1940, 125
1941, 126
1942, 127
1943, 128
1944, 130
1945, 131
1946, 132
1947, 133
1948, 133
1949, 135
1950, 160
1951, 161
1952, 162
1953, 163
1954, 165
1955, 165
1956, 166
1957, 167
1958, 168
1959, 170
1960, 170
1961, 171
1962, 172
1963, 173
1964, 175
1965, 175
