x, n0
904, 145
905, 153
906, 147
907, 155
908, 149
909, 157
910, 152
911, 160
912, 162
913, 163
914, 164
915, 165
916, 164
917, 166
918, 169
919, 170
920, 171
921, 179
922, 173
923, 182
924, 176
925, 183
926, 178
927, 194
928, 180
929, 181
930, 197
931, 200
932, 185
933, 186
934, -1
935, -1
936, 197
937, -1
938, -1
939, -1
940, -1
941, -1
942, -1
943, -1
944, -1
945, -1
946, -1
947, -1
948, -1
949, -1
950, -1
951, -1
952, -1
953, -1
954, -1
955, -1
956, -1
957, -1
958, -1
959, -1
960, -1
961, -1
962, -1
963, -1
964, -1
965, -1
966, -1
967, -1
968, -1
969, -1
970, -1
971, -1
972, -1
973, -1
974, -1
975, -1
976, -1
977, -1
978, -1
979, -1
980, -1
981, -1
982, -1
983, -1
984, -1
985, -1
986, -1
987, -1
988, -1
989, -1
990, -1
991, -1
992, -1
993, -1
994, -1
995, -1
996, -1
997, -1
998, -1
999, -1
1000, -1
1001, -1
1002, -1
1003, -1
1004, -1
1005, -1
1006, -1
1007, -1
1008, -1
1009, -1
1010, -1
1011, -1
1012, -1
1013, -1
1014, -1
1015, -1
1016, -1
1017, -1
1018, -1
1019, -1
1020, -1
1021, -1
1022, -1
1023, -1
1024, 146
1025, 146
1026, 148
1027, 148
1028, 146
1029, 147
1030, 149
1031, 149
1032, 147
1033, 148
1034, 149
1035, 150
1036, 148
1037, 149
1038, 150
1039, 151
1040, 168
1041, 168
1042, 170
1043, 171
1044, 172
1045, 173
1046, 174
1047, 175
1048, 176
1049, 178
1050, 179
1051, 181
1052, 181
1053, 183
1054, 183
1055, 185
1056, 150
1057, 151
1058, 153
1059, 153
1060, 151
1061, 152
1062, 153
1063, 154
1064, 152
1065, 153
1066, 154
1067, 155
1068, 156
1069, 157
1070, 158
1071, 160
1072, 176
1073, 177
1074, 178
1075, 179
1076, 180
1077, 181
1078, 183
1079, 184
1080, 186
1081, 187
1082, 188
1083, 189
1084, 189
1085, 192
1086, 193
1087, 194
1088, 155
1089, 156
1090, 157
1091, 158
1092, 156
1093, 157
1094, 158
1095, 159
1096, 168
1097, 169
1098, 170
1099, 172
1100, 173
1101, 174
1102, 175
1103, 176
1104, 185
1105, 186
1106, 188
1107, 189
1108, 188
1109, 189
1110, 192
1111, 193
1112, 194
1113, -1
1114, 197
1115, -1
1116, 199
1117, -1
1118, -1
1119, -1
1120, 160
1121, 161
1122, 162
1123, 163
1124, 164
1125, 165
1126, 166
1127, 168
1128, 177
1129, 185
1130, 179
1131, 187
1132, 181
1133, 189
1134, 184
1135, 192
1136, 194
1137, 195
1138, 196
1139, 197
1140, 196
1141, 198
1142, -1
1143, -1
1144, -1
1145, -1
1146, -1
1147, -1
1148, -1
1149, -1
1150, -1
1151, -1
1152, -1
1153, -1
1154, -1
1155, -1
1156, -1
1157, -1
1158, -1
1159, -1
1160, -1
1161, -1
1162, -1
1163, -1
1164, -1
1165, -1
1166, -1
1167, -1
1168, -1
1169, -1
1170, -1
1171, -1
1172, -1
1173, -1
1174, -1
1175, -1
1176, -1
1177, -1
1178, -1
1179, -1
1180, -1
1181, -1
1182, -1
1183, -1
1184, -1
1185, -1
1186, -1
1187, -1
1188, -1
1189, -1
1190, -1
1191, -1
1192, -1
1193, -1
1194, -1
1195, -1
1196, -1
1197, -1
1198, -1
1199, -1
1200, -1
1201, -1
1202, -1
1203, -1
1204, -1
1205, -1
1206, -1
1207, -1
1208, -1
1209, -1
1210, -1
1211, -1
1212, -1
1213, -1
1214, -1
1215, -1
1216, -1
1217, -1
1218, -1
1219, -1
1220, -1
1221, -1
1222, -1
1223, -1
1224, -1
1225, -1
1226, -1
1227, -1
1228, -1
1229, -1
1230, -1
1231, -1
1232, -1
1233, -1
1234, -1
1235, -1
1236, -1
1237, -1
1238, -1
1239, -1
1240, -1
1241, -1
1242, -1
1243, -1
1244, -1
1245, -1
1246, -1
1247, -1
1248, -1
1249, -1
1250, -1
1251, -1
1252, -1
1253, -1
1254, -1
1255, -1
1256, -1
1257, -1
1258, -1
1259, -1
1260, -1
1261, -1
1262, -1
1263, -1
1264, -1
1265, -1
1266, -1
1267, -1
1268, -1
1269, -1
1270, -1
1271, -1
1272, -1
1273, -1
1274, -1
1275, -1
1276, -1
1277, -1
1278, -1
1279, -1
1280, 182
1281, 183
1282, 185
1283, 185
1284, 183
1285, 184
1286, 185
1287, 186
1288, 184
1289, 185
1290, 186
1291, 187
1292, 188
1293, 189
1294, 190
1295, 192
1296, -1
1297, -1
1298, -1
1299, -1
1300, -1
1301, -1
1302, -1
1303, -1
1304, -1
1305, -1
1306, -1
1307, -1
1308, -1
1309, -1
1310, -1
1311, -1
1312, 187
1313, 188
1314, 189
1315, 190
1316, 188
1317, 189
1318, 190
1319, 191
1320, 200
1321, -1
1322, -1
1323, -1
1324, -1
1325, -1
1326, -1
1327, -1
1328, -1
1329, -1
1330, -1
1331, -1
1332, -1
1333, -1
1334, -1
1335, -1
1336, -1
1337, -1
1338, -1
1339, -1
1340, -1
1341, -1
1342, -1
1343, -1
1344, 192
1345, 193
1346, 194
1347, 195
1348, 196
1349, 197
1350, 198
1351, 200
1352, -1
1353, -1
1354, -1
1355, -1
1356, -1
1357, -1
1358, -1
1359, -1
1360, -1
1361, -1
1362, -1
1363, -1
1364, -1
1365, -1
1366, -1
1367, -1
1368, -1
1369, -1
1370, -1
1371, -1
1372, -1
1373, -1
1374, -1
1375, -1
1376, -1
1377, -1
1378, -1
1379, -1
1380, -1
1381, -1
1382, -1
1383, -1
1384, -1
1385, -1
1386, -1
1387, -1
1388, -1
1389, -1
1390, -1
1391, -1
1392, -1
1393, -1
1394, -1
1395, -1
1396, -1
1397, -1
1398, -1
1399, -1
