n,s0
1074,69
1075,70
1076,71
1077,72
1078,73
1079,74
1080,75
1081,76
1082,77
1083,78
1084,79
1085,80
1086,81
1087,82
1088,68
1089,69
1090,70
1091,71
1092,72
1093,73
1094,74
1095,75
1096,76
1097,77
1098,78
1099,79
1100,80
1101,81
1102,82
1103,83
1104,85
1105,103
1106,104
1107,105
1108,106
1109,107
1110,108
1111,109
1112,110
1113,111
1114,112
1115,113
1116,114
1117,115
1118,116
1119,117
1120,118
1121,120
1122,137
1123,138
1124,139
1125,140
1126,141
1127,142
1128,143
1129,144
1130,145
1131,146
1132,147
1133,148
1134,149
1135,149
1136,151
1137,153
1138,155
1139,171
1140,172
1141,173
1142,174
1143,175
1144,176
1145,177
1146,178
1147,179
1148,180
1149,181
1150,181
1151,182
1152,184
1153,186
1154,188
1155,190
1156,72
1157,72
1158,72
1159,72
1160,72
1161,72
1162,72
1163,72
1164,72
1165,72
1166,72
1167,72
1168,73
1169,74
1170,75
1171,76
1172,77
1173,73
1174,73
1175,73
1176,73
1177,73
1178,73
1179,73
1180,73
1181,73
1182,73
1183,73
1184,74
1185,75
1186,76
1187,77
1188,78
1189,79
1190,74
1191,74
1192,74
1193,74
1194,74
1195,74
1196,74
1197,74
1198,74
1199,74
1200,75
1201,76
1202,77
1203,78
1204,79
1205,80
1206,81
1207,75
1208,75
1209,75
1210,75
1211,75
1212,75
1213,75
1214,75
1215,75
1216,76
1217,77
1218,78
1219,79
1220,80
1221,81
1222,82
1223,83
1224,76
1225,76
1226,76
1227,76
1228,76
1229,76
1230,76
1231,76
1232,77
1233,78
1234,79
1235,80
1236,81
1237,82
1238,83
1239,84
1240,85
1241,77
1242,77
1243,77
1244,77
1245,77
1246,77
1247,77
1248,78
1249,79
1250,80
1251,81
1252,82
1253,83
1254,84
1255,85
1256,86
1257,87
1258,78
1259,78
1260,78
1261,78
1262,78
1263,78
1264,79
1265,80
1266,81
1267,82
1268,83
1269,84
1270,85
1271,86
1272,87
1273,88
1274,89
1275,79
1276,79
1277,79
1278,79
1279,79
1280,80
1281,81
1282,82
1283,83
1284,84
1285,85
1286,86
1287,87
1288,88
1289,89
1290,90
1291,91
1292,80
1293,80
1294,80
1295,80
1296,81
1297,82
1298,83
1299,84
1300,85
1301,86
1302,87
1303,88
1304,89
1305,90
1306,91
1307,92
1308,93
1309,81
1310,81
1311,81
1312,82
1313,83
1314,84
1315,85
1316,86
1317,87
1318,88
1319,89
1320,90
1321,91
1322,92
1323,93
1324,94
1325,95
1326,82
1327,82
1328,83
1329,84
1330,85
1331,86
1332,87
1333,88
1334,89
1335,90
1336,91
1337,92
1338,93
1339,94
1340,95
1341,96
1342,97
1343,83
1344,84
1345,85
1346,86
1347,87
1348,88
1349,89
1350,90
1351,91
1352,92
1353,93
1354,94
1355,95
1356,96
1357,97
1358,98
1359,99
1360,85
1361,86
1362,87
1363,88
1364,89
1365,90
1366,91
1367,92
1368,93
1369,94
1370,95
1371,96
1372,97
1373,98
1374,99
1375,100
1376,102
1377,120
1378,121
1379,122
1380,123
1381,124
1382,125
1383,126
1384,127
1385,128
1386,129
1387,130
1388,131
1389,132
1390,133
1391,134
1392,135
1393,137
1394,154
1395,155
1396,156
1397,157
1398,158
1399,159
1400,160
1401,161
1402,162
1403,163
1404,164
1405,165
1406,166
1407,166
1408,168
1409,170
1410,172
1411,188
1412,189
1413,190
1414,191
1415,192
1416,193
1417,194
1418,195
1419,196
1420,197
1421,198
1422,198
1423,199
1424,-1
1425,-1
1426,-1
1427,-1
1428,-1
1429,-1
1430,-1
1431,-1
1432,-1
1433,-1
1434,-1
1435,-1
1436,-1
1437,-1
1438,-1
1439,-1
1440,-1
1441,-1
1442,-1
1443,-1
1444,-1
1445,90
1446,90
1447,90
1448,90
1449,90
1450,90
1451,90
1452,90
1453,90
1454,90
1455,90
1456,91
1457,92
1458,93
1459,94
1460,95
1461,96
1462,91
1463,91
1464,91
1465,91
1466,91
1467,91
1468,91
1469,91
1470,91
1471,91
1472,92
1473,93
1474,94
1475,95
1476,96
1477,97
1478,98
1479,92
1480,92
1481,92
1482,92
1483,92
1484,92
1485,92
1486,92
1487,92
1488,93
1489,94
1490,95
1491,96
1492,97
1493,98
1494,99
1495,100
1496,93
1497,93
1498,93
1499,93
1500,93
1501,93
1502,93
1503,93
1504,94
1505,95
1506,96
1507,97
1508,98
1509,99
1510,100
1511,101
1512,102
1513,94
1514,94
1515,94
1516,94
1517,94
1518,94
1519,94
1520,95
1521,96
1522,97
1523,98
1524,99
1525,100
1526,101
1527,102
1528,103
1529,104
1530,95
1531,95
1532,95
1533,95
1534,95
1535,95
1536,96
1537,97
1538,98
1539,99
1540,100
1541,101
1542,102
1543,103
1544,104
1545,105
1546,106
1547,96
1548,96
1549,96
1550,96
1551,96
1552,97
1553,98
1554,99
1555,100
1556,101
1557,102
1558,103
1559,104
1560,105
1561,106
1562,107
1563,108
1564,97
1565,97
1566,97
1567,97
1568,98
1569,99
1570,100
1571,101
1572,102
1573,103
1574,104
1575,105
1576,106
1577,107
1578,108
1579,109
1580,110
1581,98
1582,98
1583,98
1584,99
1585,100
1586,101
1587,102
1588,103
1589,104
1590,105
1591,106
1592,107
1593,108
1594,109
1595,110
1596,111
1597,112
1598,99
1599,99
1600,100
1601,101
1602,102
1603,103
1604,104
1605,105
1606,106
1607,107
1608,108
1609,109
1610,110
1611,111
1612,112
1613,113
1614,114
1615,100
1616,101
1617,102
1618,103
1619,104
1620,105
1621,106
1622,107
1623,108
1624,109
1625,110
1626,111
1627,112
1628,113
1629,114
1630,115
1631,116
1632,102
1633,103
1634,104
1635,105
1636,106
1637,107
1638,108
1639,109
1640,110
1641,111
1642,112
1643,113
1644,114
1645,115
1646,116
1647,117
1648,119
1649,137
1650,138
1651,139
1652,140
1653,141
1654,142
1655,143
1656,144
1657,145
1658,146
1659,147
1660,148
1661,149
1662,150
1663,151
1664,152
1665,154
1666,171
1667,172
1668,173
1669,174
1670,175
1671,176
1672,177
1673,178
1674,179
1675,180
1676,181
1677,182
1678,183
1679,183
1680,185
1681,187
1682,189
1683,-1
1684,-1
1685,-1
1686,-1
1687,-1
1688,-1
1689,-1
1690,-1
1691,-1
1692,-1
1693,-1
1694,-1
1695,-1
1696,-1
1697,-1
1698,-1
1699,-1
1700,-1
1701,-1
1702,-1
1703,-1
1704,-1
1705,-1
1706,-1
1707,-1
1708,-1
1709,-1
1710,-1
1711,-1
1712,-1
1713,-1
1714,-1
1715,-1
1716,-1
1717,-1
1718,-1
1719,-1
1720,-1
1721,-1
1722,-1
1723,-1
1724,-1
1725,-1
1726,-1
1727,-1
1728,-1
1729,-1
1730,-1
1731,-1
1732,-1
1733,-1
1734,108
1735,108
1736,108
1737,108
1738,108
1739,108
1740,108
1741,108
1742,108
1743,108
1744,109
1745,110
1746,111
1747,112
1748,113
1749,114
1750,115
1751,109
1752,109
1753,109
1754,109
1755,109
1756,109
1757,109
1758,109
1759,109
1760,110
1761,111
1762,112
1763,113
1764,114
1765,115
1766,116
1767,117
1768,110
1769,110
1770,110
1771,110
1772,110
1773,110
1774,110
1775,110
1776,111
1777,112
1778,113
1779,114
1780,115
1781,116
1782,117
1783,118
1784,119
1785,111
1786,111
1787,111
1788,111
